date,state,district,mandi_name,commodity,variety,arrival_quantity,min_price,max_price,modal_price,source
01/04/2024,Rajasthan,Jaipur,Jaipur,Gram,Desi,71.0,5104.0,5428.0,5266.0,Agmarknet (via Kaggle mirror)
01/04/2024,Rajasthan,Jaipur,Jaipur,Barley,Malting,39.0,1630.0,1806.0,1718.0,Agmarknet (via Kaggle mirror)
01/04/2024,Gujarat,Mehsana,Unjha,Gram,Desi,95.0,4923.0,5513.0,5218.0,Agmarknet (via Kaggle mirror)
01/04/2024,Karnataka,Kalaburagi,Gulbarga,Gram,Desi,132.0,4985.0,5570.0,5278.0,Agmarknet (via Kaggle mirror)
08/04/2024,Punjab,Ludhiana,Khanna,Wheat,FAQ,325.0,2031.0,2244.0,2138.0,Agmarknet (via Kaggle mirror)
08/04/2024,Punjab,Amritsar,Amritsar,Wheat,FAQ,254.0,2084.0,2331.0,2207.0,Agmarknet (via Kaggle mirror)
08/04/2024,Haryana,Karnal,Karnal,Wheat,FAQ,302.0,2215.0,2331.0,2273.0,Agmarknet (via Kaggle mirror)
08/04/2024,Haryana,Karnal,Karnal,Barley,Malting,90.0,1598.0,1677.0,1638.0,Agmarknet (via Kaggle mirror)
08/04/2024,Haryana,Hisar,Hisar,Wheat,FAQ,247.0,2144.0,2341.0,2242.0,Agmarknet (via Kaggle mirror)
08/04/2024,Haryana,Hisar,Hisar,Mustard,Mustard Bold,161.0,5440.0,5907.0,5673.0,Agmarknet (via Kaggle mirror)
08/04/2024,Madhya Pradesh,Indore,Indore,Gram,Desi,83.0,5146.0,5657.0,5402.0,Agmarknet (via Kaggle mirror)
08/04/2024,Madhya Pradesh,Vidisha,Vidisha,Gram,Desi,15.0,5152.0,5431.0,5291.0,Agmarknet (via Kaggle mirror)
08/04/2024,Uttar Pradesh,Agra,Agra,Wheat,FAQ,104.0,2126.0,2244.0,2185.0,Agmarknet (via Kaggle mirror)
08/04/2024,Uttar Pradesh,Agra,Agra,Barley,Malting,29.0,1606.0,1755.0,1680.0,Agmarknet (via Kaggle mirror)
08/04/2024,Rajasthan,Sri Ganganagar,Sri Ganganagar,Wheat,FAQ,321.0,2026.0,2277.0,2151.0,Agmarknet (via Kaggle mirror)
08/04/2024,Rajasthan,Sri Ganganagar,Sri Ganganagar,Mustard,Mustard Bold,112.0,5317.0,5584.0,5450.0,Agmarknet (via Kaggle mirror)
08/04/2024,Rajasthan,Jaipur,Jaipur,Barley,Malting,20.0,1548.0,1729.0,1639.0,Agmarknet (via Kaggle mirror)
08/04/2024,Maharashtra,Nashik,Lasalgaon,Onion,Red,878.0,1749.0,1830.0,1789.0,Agmarknet (via Kaggle mirror)
08/04/2024,Gujarat,Mehsana,Unjha,Mustard,Mustard Bold,160.0,5187.0,5692.0,5440.0,Agmarknet (via Kaggle mirror)
08/04/2024,Gujarat,Mehsana,Unjha,Gram,Desi,69.0,5129.0,5604.0,5367.0,Agmarknet (via Kaggle mirror)
15/04/2024,Punjab,Amritsar,Amritsar,Wheat,FAQ,393.0,2144.0,2304.0,2224.0,Agmarknet (via Kaggle mirror)
15/04/2024,Haryana,Karnal,Karnal,Wheat,FAQ,111.0,2110.0,2289.0,2199.0,Agmarknet (via Kaggle mirror)
15/04/2024,Haryana,Karnal,Karnal,Barley,Malting,80.0,1605.0,1673.0,1639.0,Agmarknet (via Kaggle mirror)
15/04/2024,Haryana,Hisar,Hisar,Wheat,FAQ,373.0,2131.0,2231.0,2181.0,Agmarknet (via Kaggle mirror)
15/04/2024,Haryana,Hisar,Hisar,Mustard,Mustard Bold,104.0,5252.0,5480.0,5366.0,Agmarknet (via Kaggle mirror)
15/04/2024,Madhya Pradesh,Indore,Indore,Wheat,FAQ,159.0,2092.0,2297.0,2194.0,Agmarknet (via Kaggle mirror)
15/04/2024,Madhya Pradesh,Indore,Indore,Gram,Desi,136.0,5104.0,5701.0,5403.0,Agmarknet (via Kaggle mirror)
15/04/2024,Madhya Pradesh,Vidisha,Vidisha,Wheat,FAQ,98.0,2156.0,2318.0,2237.0,Agmarknet (via Kaggle mirror)
15/04/2024,Madhya Pradesh,Vidisha,Vidisha,Gram,Desi,134.0,5139.0,5533.0,5336.0,Agmarknet (via Kaggle mirror)
15/04/2024,Uttar Pradesh,Lucknow,Lucknow,Wheat,FAQ,81.0,2168.0,2377.0,2273.0,Agmarknet (via Kaggle mirror)
15/04/2024,Uttar Pradesh,Agra,Agra,Wheat,FAQ,177.0,2046.0,2282.0,2164.0,Agmarknet (via Kaggle mirror)
15/04/2024,Uttar Pradesh,Agra,Agra,Mustard,Mustard Bold,66.0,5299.0,5577.0,5438.0,Agmarknet (via Kaggle mirror)
15/04/2024,Uttar Pradesh,Agra,Agra,Barley,Malting,66.0,1548.0,1735.0,1641.0,Agmarknet (via Kaggle mirror)
15/04/2024,Rajasthan,Sri Ganganagar,Sri Ganganagar,Mustard,Mustard Bold,23.0,5275.0,5733.0,5504.0,Agmarknet (via Kaggle mirror)
15/04/2024,Maharashtra,Nashik,Lasalgaon,Onion,Red,510.0,1738.0,1841.0,1789.0,Agmarknet (via Kaggle mirror)
15/04/2024,Gujarat,Mehsana,Unjha,Gram,Desi,131.0,5013.0,5383.0,5198.0,Agmarknet (via Kaggle mirror)
15/04/2024,Karnataka,Kalaburagi,Gulbarga,Gram,Desi,139.0,5077.0,5603.0,5340.0,Agmarknet (via Kaggle mirror)
22/04/2024,Punjab,Ludhiana,Khanna,Wheat,FAQ,346.0,2031.0,2285.0,2158.0,Agmarknet (via Kaggle mirror)
22/04/2024,Punjab,Amritsar,Amritsar,Wheat,FAQ,75.0,2069.0,2208.0,2138.0,Agmarknet (via Kaggle mirror)
22/04/2024,Haryana,Karnal,Karnal,Wheat,FAQ,130.0,2088.0,2327.0,2208.0,Agmarknet (via Kaggle mirror)
22/04/2024,Haryana,Karnal,Karnal,Barley,Malting,18.0,1593.0,1775.0,1684.0,Agmarknet (via Kaggle mirror)
22/04/2024,Haryana,Hisar,Hisar,Wheat,FAQ,111.0,2176.0,2308.0,2242.0,Agmarknet (via Kaggle mirror)
22/04/2024,Madhya Pradesh,Indore,Indore,Wheat,FAQ,91.0,2192.0,2288.0,2240.0,Agmarknet (via Kaggle mirror)
22/04/2024,Madhya Pradesh,Indore,Indore,Gram,Desi,81.0,5139.0,5577.0,5358.0,Agmarknet (via Kaggle mirror)
22/04/2024,Madhya Pradesh,Vidisha,Vidisha,Wheat,FAQ,252.0,2203.0,2337.0,2270.0,Agmarknet (via Kaggle mirror)
22/04/2024,Madhya Pradesh,Vidisha,Vidisha,Gram,Desi,33.0,5198.0,5612.0,5405.0,Agmarknet (via Kaggle mirror)
22/04/2024,Madhya Pradesh,Vidisha,Vidisha,Mustard,Mustard Bold,45.0,5367.0,5843.0,5605.0,Agmarknet (via Kaggle mirror)
22/04/2024,Uttar Pradesh,Lucknow,Lucknow,Wheat,FAQ,228.0,2145.0,2281.0,2213.0,Agmarknet (via Kaggle mirror)
22/04/2024,Uttar Pradesh,Agra,Agra,Barley,Malting,100.0,1545.0,1719.0,1632.0,Agmarknet (via Kaggle mirror)
22/04/2024,Rajasthan,Sri Ganganagar,Sri Ganganagar,Wheat,FAQ,320.0,2142.0,2378.0,2260.0,Agmarknet (via Kaggle mirror)
22/04/2024,Rajasthan,Sri Ganganagar,Sri Ganganagar,Gram,Desi,41.0,5180.0,5522.0,5351.0,Agmarknet (via Kaggle mirror)
22/04/2024,Rajasthan,Jaipur,Jaipur,Wheat,FAQ,333.0,2104.0,2209.0,2156.0,Agmarknet (via Kaggle mirror)
22/04/2024,Rajasthan,Jaipur,Jaipur,Gram,Desi,102.0,5061.0,5357.0,5209.0,Agmarknet (via Kaggle mirror)
22/04/2024,Rajasthan,Jaipur,Jaipur,Barley,Malting,72.0,1645.0,1749.0,1697.0,Agmarknet (via Kaggle mirror)
22/04/2024,Maharashtra,Nashik,Lasalgaon,Onion,Red,749.0,1794.0,1875.0,1835.0,Agmarknet (via Kaggle mirror)
22/04/2024,Gujarat,Mehsana,Unjha,Mustard,Mustard Bold,53.0,5380.0,5601.0,5490.0,Agmarknet (via Kaggle mirror)
22/04/2024,Gujarat,Mehsana,Unjha,Gram,Desi,124.0,5019.0,5544.0,5281.0,Agmarknet (via Kaggle mirror)
22/04/2024,Karnataka,Kalaburagi,Gulbarga,Gram,Desi,53.0,4857.0,5453.0,5155.0,Agmarknet (via Kaggle mirror)
29/04/2024,Punjab,Ludhiana,Khanna,Wheat,FAQ,125.0,2132.0,2325.0,2229.0,Agmarknet (via Kaggle mirror)
29/04/2024,Punjab,Amritsar,Amritsar,Wheat,FAQ,457.0,2062.0,2210.0,2136.0,Agmarknet (via Kaggle mirror)
29/04/2024,Haryana,Karnal,Karnal,Barley,Malting,95.0,1590.0,1748.0,1669.0,Agmarknet (via Kaggle mirror)
29/04/2024,Haryana,Hisar,Hisar,Wheat,FAQ,258.0,2131.0,2381.0,2256.0,Agmarknet (via Kaggle mirror)
29/04/2024,Madhya Pradesh,Indore,Indore,Wheat,FAQ,133.0,2219.0,2354.0,2286.0,Agmarknet (via Kaggle mirror)
29/04/2024,Madhya Pradesh,Vidisha,Vidisha,Mustard,Mustard Bold,125.0,5456.0,5832.0,5644.0,Agmarknet (via Kaggle mirror)
29/04/2024,Uttar Pradesh,Agra,Agra,Barley,Malting,14.0,1654.0,1736.0,1695.0,Agmarknet (via Kaggle mirror)
29/04/2024,Rajasthan,Sri Ganganagar,Sri Ganganagar,Gram,Desi,93.0,5145.0,5557.0,5351.0,Agmarknet (via Kaggle mirror)
29/04/2024,Rajasthan,Jaipur,Jaipur,Gram,Desi,86.0,5137.0,5520.0,5329.0,Agmarknet (via Kaggle mirror)
29/04/2024,Gujarat,Mehsana,Unjha,Mustard,Mustard Bold,157.0,5410.0,5814.0,5612.0,Agmarknet (via Kaggle mirror)
29/04/2024,Gujarat,Mehsana,Unjha,Gram,Desi,81.0,4919.0,5493.0,5206.0,Agmarknet (via Kaggle mirror)
29/04/2024,Karnataka,Kalaburagi,Gulbarga,Gram,Desi,42.0,5258.0,5590.0,5424.0,Agmarknet (via Kaggle mirror)
06/05/2024,Punjab,Ludhiana,Khanna,Wheat,FAQ,273.0,2032.0,2253.0,2143.0,Agmarknet (via Kaggle mirror)
06/05/2024,Punjab,Amritsar,Amritsar,Wheat,FAQ,345.0,2098.0,2252.0,2175.0,Agmarknet (via Kaggle mirror)
06/05/2024,Haryana,Karnal,Karnal,Wheat,FAQ,316.0,2045.0,2205.0,2125.0,Agmarknet (via Kaggle mirror)
06/05/2024,Haryana,Hisar,Hisar,Wheat,FAQ,393.0,2114.0,2335.0,2225.0,Agmarknet (via Kaggle mirror)
06/05/2024,Haryana,Hisar,Hisar,Mustard,Mustard Bold,104.0,5116.0,5745.0,5431.0,Agmarknet (via Kaggle mirror)
06/05/2024,Madhya Pradesh,Indore,Indore,Wheat,FAQ,203.0,2173.0,2284.0,2228.0,Agmarknet (via Kaggle mirror)
06/05/2024,Madhya Pradesh,Indore,Indore,Gram,Desi,90.0,5154.0,5506.0,5330.0,Agmarknet (via Kaggle mirror)
06/05/2024,Madhya Pradesh,Vidisha,Vidisha,Wheat,FAQ,244.0,2075.0,2278.0,2177.0,Agmarknet (via Kaggle mirror)
06/05/2024,Madhya Pradesh,Vidisha,Vidisha,Gram,Desi,92.0,5189.0,5674.0,5431.0,Agmarknet (via Kaggle mirror)
06/05/2024,Madhya Pradesh,Vidisha,Vidisha,Mustard,Mustard Bold,73.0,5438.0,5799.0,5618.0,Agmarknet (via Kaggle mirror)
06/05/2024,Uttar Pradesh,Lucknow,Lucknow,Wheat,FAQ,288.0,2136.0,2343.0,2240.0,Agmarknet (via Kaggle mirror)
06/05/2024,Uttar Pradesh,Agra,Agra,Wheat,FAQ,456.0,2097.0,2274.0,2185.0,Agmarknet (via Kaggle mirror)
06/05/2024,Rajasthan,Sri Ganganagar,Sri Ganganagar,Wheat,FAQ,374.0,2033.0,2206.0,2119.0,Agmarknet (via Kaggle mirror)
06/05/2024,Rajasthan,Sri Ganganagar,Sri Ganganagar,Gram,Desi,75.0,4776.0,5365.0,5071.0,Agmarknet (via Kaggle mirror)
06/05/2024,Rajasthan,Sri Ganganagar,Sri Ganganagar,Mustard,Mustard Bold,26.0,5161.0,5458.0,5309.0,Agmarknet (via Kaggle mirror)
